Date,Class,Addr Cnt,TELCORE,BBCORE,VCORE,SCORE,TelOnly,Tel+BB,CBOL,IP CORE,FIBER,DSL,BB Goal,BB Rem,BB %
2026-01-31,35-GILES,501.0,6,76,0,0.0,0,6,70,6,76,0,,,15.17
2026-01-31,36-LINC,112.0,2,27,0,,0,2,25,2,27,0,,,24.11
2026-01-31,96-ALNG,,0,2,0,,0,0,2,0,2,0,,,0.0
2026-01-31,97-TNNG,31.0,0,1,0,,0,0,1,0,1,0,,,3.23
2026-02-28,10-WKT-KY,19546.0,4725,12418,1022,355.0,1179,3546,8872,463,12418,0,,,63.53
2026-02-28,10-WKT-TN,2998.0,957,2065,185,38.0,152,805,1260,15,2065,0,,,68.88
2026-02-28,14-YORK,1891.0,450,1103,58,7.0,85,365,738,5,1103,0,15584.0,-1.0,58.33
2026-02-28,12-MRTN,5091.0,284,1298,70,3.0,134,150,1148,194,1298,0,1253.0,-45.0,25.5
2026-02-28,15-DRES,1531.0,243,911,51,1.0,118,125,786,156,911,0,907.0,-4.0,59.5
2026-02-28,16-DUKE,528.0,98,395,27,1.0,10,88,307,98,395,0,391.0,-4.0,74.81
2026-02-28,17-HNRY,1523.0,97,1018,37,3.0,18,79,939,13,1018,0,1015.0,-3.0,66.84
2026-02-28,18-SMRT,1606.0,54,830,33,0.0,7,47,783,1,830,0,826.0,-4.0,51.68
2026-02-28,19-GRCO,4385.0,244,2621,138,42.0,96,148,2473,244,2621,0,2627.0,6.0,59.77
2026-02-28,20-PALM,953.0,197,668,34,1.0,16,181,487,8,668,0,667.0,-1.0,70.09
2026-02-28,21-ILL,174.0,1,43,4,0.0,0,1,42,1,43,0,137.0,94.0,24.71
2026-02-28,22-ILL,459.0,6,135,9,0.0,2,4,131,6,135,0,38.0,-97.0,29.41
2026-02-28,23-PILL,739.0,6,44,5,0.0,4,2,42,0,44,0,52.0,8.0,5.95
2026-02-28,24-CALL,648.0,16,362,24,1.0,8,8,354,16,362,0,359.0,-3.0,55.86
2026-02-28,26-MRSH,192.0,1,91,3,0.0,0,1,90,1,91,0,91.0,,47.4
